model,algorithm,metric,feature,rank,in_topk
cat,LOCO,pr_auc,"Age, years",,False
cat,LOCO,pr_auc,Male sex,,False
cat,LOCO,pr_auc,Current drinking,51,True
cat,LOCO,pr_auc,Diabetes mellitus,,False
cat,LOCO,pr_auc,aspirin,,False
cat,LOCO,pr_auc,Hypertension,55,True
cat,LOCO,pr_auc,Dapt,,False
cat,LOCO,pr_auc,Dyslipidemia,,False
cat,LOCO,pr_auc,HbA1C,,False
cat,LOCO,pr_auc,Clopidogrel,50,True
cat,LOCO,pr_auc,Current smoker,24,True
cat,SHAP,pr_auc,"Age, years",,False
cat,SHAP,pr_auc,Male sex,,False
cat,SHAP,pr_auc,Current drinking,,False
cat,SHAP,pr_auc,Diabetes mellitus,,False
cat,SHAP,pr_auc,aspirin,,False
cat,SHAP,pr_auc,Hypertension,35,True
cat,SHAP,pr_auc,Dapt,,False
cat,SHAP,pr_auc,Dyslipidemia,,False
cat,SHAP,pr_auc,HbA1C,,False
